date,sunhr,Tmax,Tmin,rain,wind,RH
2023-01-01,6.7,5.9,-3.0,0.0,1.6,62.0
2023-01-02,9.2,2.0,-4.0,0.0,1.5,53.1
2023-01-03,9.3,2.9,-7.2,0.0,1.6,65.5
2023-01-04,7.8,5.6,-5.4,0.0,1.5,66.0
2023-01-05,6.2,7.7,-2.6,0.0,1.1,70.3
2023-01-06,5.4,8.5,-1.4,2.9,1.3,74.0
2023-01-07,7.5,6.8,-1.0,0.0,3.1,63.4
2023-01-08,8.3,9.4,-2.3,0.0,1.3,61.5
2023-01-09,0.1,9.3,-0.3,0.0,1.7,66.5
2023-01-10,8.5,8.5,-4.2,0.0,1.0,64.5
2023-01-11,9.0,11.3,-2.2,0.0,1.1,62.4
2023-01-12,7.9,17.0,0.2,0.4,1.3,52.0
2023-01-13,0.0,15.0,8.3,21.5,1.8,94.8
2023-01-14,0.0,8.3,4.2,0.8,1.4,95.5
2023-01-15,0.0,4.8,-2.3,0.9,2.9,79.0
2023-01-16,9.2,1.1,-4.6,0.0,1.9,61.9
2023-01-17,8.4,3.1,-5.8,0.0,1.3,61.5
2023-01-18,6.1,5.3,-3.0,0.0,1.2,71.1
2023-01-19,7.7,7.0,-4.1,0.0,1.4,62.9
2023-01-20,8.2,5.8,-4.4,0.0,3.1,51.9
2023-01-21,9.3,3.0,-7.0,0.0,1.3,54.6
2023-01-22,0.0,6.6,-3.3,0.0,0.9,53.4
2023-01-23,7.1,8.5,-2.2,0.0,2.2,69.3
2023-01-24,8.9,-1.3,-12.5,0.2,4.5,55.0
2023-01-25,9.6,-3.5,-15.0,0.0,1.4,44.3
2023-01-26,0.0,2.8,-8.7,0.1,1.6,70.0
2023-01-27,8.3,-0.6,-6.9,0.0,2.8,57.0
2023-01-28,4.4,-0.6,-9.4,0.0,1.1,68.4
2023-01-29,7.8,5.5,-6.0,0.0,2.4,66.3
2023-01-30,9.5,5.6,-4.0,0.0,1.6,51.6
2023-01-31,9.4,10.7,-2.8,0.0,2.1,51.6
2023-02-01,7.4,9.2,-1.7,0.0,2.6,61.4
2023-02-02,7.5,4.0,-4.2,0.0,1.6,51.9
2023-02-03,8.0,3.7,-3.1,0.0,1.4,47.6
2023-02-04,9.5,6.2,-5.7,0.0,1.4,58.6
2023-02-05,9.8,8.3,-4.7,0.0,1.2,55.1
2023-02-06,6.4,11.3,-3.7,0.0,1.1,46.6
2023-02-07,7.9,12.2,-1.2,0.0,1.3,58.9
2023-02-08,6.6,8.3,-1.1,0.0,1.1,72.1
2023-02-09,4.9,13.0,-2.7,1.3,1.2,55.1
2023-02-10,1.4,8.6,1.6,3.6,1.1,86.5
2023-02-11,3.1,8.3,-1.0,0.0,0.9,80.5
2023-02-12,0.4,7.6,-1.1,0.0,0.8,75.9
2023-02-13,2.0,12.5,3.2,0.0,1.5,69.9
2023-02-14,7.4,7.0,-0.6,0.0,1.7,65.4
2023-02-15,2.6,8.5,-2.0,0.0,1.0,65.1
2023-02-16,0.3,6.3,-0.5,0.0,1.2,69.0
2023-02-17,0.4,7.4,-1.1,0.0,0.8,60.0
2023-02-18,0.0,10.0,5.3,0.9,0.7,61.1
2023-02-19,5.1,6.3,-0.7,2.9,2.8,73.8
2023-02-20,9.2,6.4,-3.2,0.0,3.0,58.4
2023-02-21,10.3,5.0,-5.1,0.0,1.5,50.5
2023-02-22,7.8,9.7,-4.4,0.1,1.5,56.5
2023-02-23,9.8,10.7,-1.6,0.8,1.3,67.4
2023-02-24,9.5,10.9,-0.2,0.0,2.2,62.3
2023-02-25,10.5,6.5,-3.1,0.0,1.8,52.8
2023-02-26,10.5,9.0,-5.0,0.0,1.4,49.0
2023-02-27,10.6,14.2,-2.9,0.0,1.5,51.9
2023-02-28,10.6,14.9,-1.1,0.0,1.7,59.3
2023-03-01,4.0,11.4,3.1,0.0,2.3,64.4
2023-03-02,10.6,8.3,-0.8,0.0,2.5,42.4
2023-03-03,10.3,12.1,-3.4,0.0,1.6,49.8
2023-03-04,9.1,16.3,0.2,0.0,1.3,57.6
2023-03-05,9.9,16.7,1.5,0.0,1.3,49.9
2023-03-06,10.6,17.8,2.0,0.0,1.6,45.1
2023-03-07,9.2,21.6,6.5,0.0,2.4,39.1
2023-03-08,10.2,21.3,8.5,0.0,2.0,40.1
2023-03-09,7.2,19.6,6.4,0.0,1.7,70.9
2023-03-10,9.9,24.6,2.6,0.0,1.2,54.6
2023-03-11,8.8,25.8,11.1,0.0,1.7,35.9
2023-03-12,0.6,15.1,1.6,11.4,3.1,69.1
2023-03-13,11.0,8.8,-1.7,0.0,1.7,38.5
2023-03-14,10.2,18.7,2.4,0.0,2.2,34.1
2023-03-15,9.2,20.6,6.8,0.0,3.1,59.9
2023-03-16,7.4,13.0,2.2,0.0,2.6,30.3
2023-03-17,0.0,11.5,3.7,0.0,1.1,38.1
2023-03-18,8.0,15.0,4.9,0.0,1.8,51.8
2023-03-19,11.1,16.9,1.2,0.0,1.4,54.0
2023-03-20,9.8,18.9,2.2,0.0,1.5,47.6
2023-03-21,11.0,23.8,5.9,0.0,1.2,39.8
2023-03-22,7.8,25.8,9.3,3.4,1.2,55.9
2023-03-23,0.0,16.9,9.1,12.2,1.1,85.0
2023-03-24,2.5,17.7,7.2,0.0,1.2,63.5
2023-03-25,0.0,14.1,6.5,0.0,1.0,68.1
2023-03-26,9.7,16.1,4.6,0.0,1.9,56.9
2023-03-27,11.2,14.4,0.8,0.0,1.4,52.3
2023-03-28,7.8,16.3,1.9,0.0,1.5,49.3
2023-03-29,11.3,21.4,3.0,0.0,1.5,48.3
2023-03-30,9.5,23.9,5.7,0.0,1.6,39.0
2023-03-31,11.4,24.1,6.2,0.0,1.6,39.4
2023-04-01,10.6,26.1,7.3,0.0,1.6,38.0
2023-04-02,11.6,25.1,9.5,0.0,1.8,32.1
2023-04-03,11.4,26.2,8.1,0.0,2.0,31.6
2023-04-04,4.2,23.1,13.0,9.3,2.1,55.1
2023-04-05,0.0,17.7,9.1,13.8,3.5,86.0
2023-04-06,0.0,10.7,7.6,7.0,1.9,90.8
2023-04-07,3.0,0.0,0.0,0.8,2.4,70.8
2023-04-08,11.7,15.1,1.0,0.0,2.6,60.1
2023-04-09,11.8,17.8,3.1,0.0,1.9,48.6
2023-04-10,11.4,22.2,4.5,0.0,2.0,42.0
2023-04-11,3.1,22.4,10.3,0.9,2.8,74.6
2023-04-12,11.0,17.7,6.9,0.0,1.9,46.4
2023-04-13,10.5,23.9,4.6,0.0,1.4,30.9
2023-04-14,1.7,20.8,7.8,0.4,1.0,53.9
2023-04-15,3.1,16.9,9.4,3.0,1.3,84.0
2023-04-16,4.2,18.0,7.2,0.9,1.4,76.1
2023-04-17,11.3,22.4,5.1,0.0,1.4,56.8
2023-04-18,0.0,19.2,15.1,0.4,1.8,81.0
2023-04-19,8.1,27.5,13.7,0.0,1.2,74.4
2023-04-20,10.2,26.5,13.7,0.0,1.5,75.0
2023-04-21,7.9,24.9,13.4,0.0,1.4,67.5
2023-04-22,9.8,24.7,13.9,0.0,1.5,29.1
2023-04-23,1.9,22.0,12.1,0.0,1.1,36.3
